iter	Passed	Remaining
428	1741	2318
429	1744	2312
430	1746	2306
431	1749	2300
432	1752	2294
433	1754	2288
434	1757	2282
435	1759	2276
436	1762	2270
437	1765	2264
438	1767	2258
439	1770	2253
440	1772	2247
441	1775	2241
442	1778	2236
443	1781	2231
444	1784	2226
445	1787	2220
446	1790	2215
447	1793	2209
448	1797	2205
449	1800	2200
450	1803	2195
451	1806	2189
452	1809	2184
453	1812	2179
454	1815	2174
455	1818	2169
456	1822	2165
457	1827	2162
458	1830	2157
459	1835	2155
460	1839	2150
461	1843	2146
462	1847	2142
463	1851	2138
464	1854	2134
465	1859	2131
466	1863	2126
467	1868	2123
468	1872	2119
469	1876	2115
470	1879	2111
471	1885	2108
472	1889	2104
473	1893	2101
474	1898	2098
475	1902	2094
476	1906	2090
477	1910	2085
478	1914	2082
479	1917	2077
480	1921	2073
481	1924	2068
482	1928	2063
483	1932	2059
484	1936	2056
485	1940	2051
486	1943	2046
487	1946	2042
488	1949	2037
489	1953	2033
490	1956	2028
491	1961	2025
492	1965	2021
493	1969	2017
494	1972	2012
495	1975	2007
496	1979	2003
497	1983	1999
498	1986	1994
499	1989	1989
500	1993	1985
501	1996	1980
502	2000	1976
503	2003	1971
504	2006	1966
505	2010	1962
506	2013	1958
507	2016	1953
508	2019	1948
509	2024	1944
510	2027	1940
511	2031	1936
512	2034	1931
513	2037	1926
514	2040	1922
515	2043	1916
516	2046	1911
517	2049	1906
518	2051	1901
519	2054	1896
520	2057	1891
521	2060	1886
522	2062	1881
523	2065	1876
524	2068	1871
525	2071	1866
526	2073	1861
527	2077	1857
528	2080	1852
529	2083	1847
530	2087	1843
531	2090	1838
532	2092	1833
533	2095	1828
534	2098	1823
535	2100	1818
536	2103	1813
537	2105	1808
538	2108	1803
539	2111	1798
540	2113	1793
541	2116	1788
542	2119	1783
543	2121	1778
544	2124	1773
545	2126	1768
546	2129	1763
547	2131	1758
548	2134	1753
549	2137	1748
550	2139	1743
551	2142	1738
552	2144	1733
553	2147	1729
554	2150	1724
555	2153	1719
556	2155	1714
557	2158	1709
558	2161	1705
559	2163	1700
560	2166	1695
561	2168	1690
562	2171	1685
563	2173	1680
564	2176	1675
565	2179	1671
566	2182	1666
567	2184	1661
568	2187	1656
569	2189	1652
570	2192	1647
571	2194	1641
572	2197	1637
573	2199	1632
574	2202	1628
575	2205	1623
576	2208	1618
577	2211	1614
578	2214	1610
579	2217	1606
580	2220	1601
581	2222	1596
582	2225	1592
583	2228	1587
584	2231	1582
585	2234	1578
586	2236	1573
587	2239	1569
588	2241	1564
589	2244	1559
590	2246	1555
591	2249	1550
592	2252	1545
593	2254	1541
594	2257	1536
595	2259	1531
596	2262	1527
597	2265	1522
598	2267	1518
599	2270	1513
600	2272	1508
601	2275	1504
602	2278	1499
603	2280	1495
604	2283	1491
605	2286	1486
606	2289	1482
607	2291	1477
608	2294	1472
609	2296	1468
610	2299	1464
611	2302	1459
612	2304	1455
613	2307	1450
614	2310	1446
615	2313	1442
616	2316	1437
617	2318	1433
618	2321	1429
619	2324	1424
620	2327	1420
621	2329	1415
622	2332	1411
623	2334	1406
624	2337	1402
625	2339	1397
626	2342	1393
627	2345	1389
628	2347	1384
629	2350	1380
630	2352	1375
631	2355	1371
632	2358	1367
633	2360	1362
634	2363	1358
635	2365	1354
636	2368	1349
637	2371	1345
638	2373	1341
639	2376	1336
640	2380	1332
641	2382	1328
642	2385	1324
643	2388	1320
644	2392	1316
645	2395	1312
646	2398	1308
647	2400	1304
648	2404	1300
649	2407	1296
650	2410	1292
651	2412	1287
652	2415	1283
653	2418	1279
654	2421	1275
655	2424	1271
656	2427	1267
657	2430	1263
658	2434	1259
659	2437	1255
660	2440	1251
661	2445	1248
662	2450	1245
663	2454	1242
664	2459	1238
665	2462	1234
666	2467	1231
667	2470	1227
668	2474	1224
669	2478	1220
670	2482	1217
671	2487	1213
672	2491	1210
673	2496	1207
674	2500	1203
675	2505	1200
676	2508	1196
677	2514	1193
678	2517	1190
679	2521	1186
680	2525	1183
681	2530	1180
682	2534	1176
683	2538	1172
684	2542	1169
685	2546	1165
686	2551	1162
687	2555	1158
688	2559	1155
689	2563	1151
690	2568	1148
691	2571	1144
692	2582	1143
693	2585	1139
694	2588	1135
695	2592	1132
696	2595	1128
697	2598	1124
698	2601	1120
699	2604	1116
700	2608	1112
701	2612	1108
702	2615	1104
703	2618	1100
704	2623	1097
705	2627	1093
706	2630	1089
707	2632	1085
708	2636	1082
709	2639	1078
710	2643	1074
711	2646	1070
712	2649	1066
713	2653	1062
714	2656	1058
715	2659	1054
716	2661	1050
717	2664	1046
718	2667	1042
719	2669	1038
720	2672	1034
721	2675	1030
722	2678	1026
723	2681	1022
724	2683	1018
725	2686	1013
726	2688	1009
727	2691	1005
728	2694	1001
729	2697	997
730	2700	993
731	2703	989
732	2705	985
733	2708	981
734	2711	977
735	2713	973
736	2716	969
737	2718	965
738	2721	961
739	2724	957
740	2726	953
741	2729	949
742	2732	945
743	2734	940
744	2737	936
745	2740	932
746	2742	928
747	2745	924
748	2747	920
749	2750	916
750	2752	912
751	2755	908
752	2757	904
753	2760	900
754	2763	896
755	2765	892
756	2768	888
757	2771	884
758	2773	880
759	2776	876
760	2779	872
761	2781	868
762	2784	864
763	2787	861
764	2790	857
765	2793	853
766	2796	849
767	2799	845
768	2802	841
769	2804	837
770	2807	833
771	2810	830
772	2813	826
773	2816	822
774	2818	818
775	2821	814
776	2824	810
777	2827	806
778	2830	802
779	2832	799
780	2836	795
781	2838	791
782	2841	787
783	2844	783
784	2847	779
785	2850	775
786	2853	772
787	2856	768
788	2859	764
789	2863	761
790	2866	757
791	2870	753
792	2875	750
793	2879	746
794	2883	743
795	2886	739
796	2890	736
797	2894	732
798	2898	729
799	2901	725
800	2906	722
801	2910	718
802	2914	714
803	2917	711
804	2921	707
805	2925	704
806	2930	700
