iter	Logloss
209	0.2710640836
210	0.2705820045
211	0.2702350227
212	0.2698182865
213	0.2691664923
214	0.2687726962
215	0.2685657942
216	0.2682534043
217	0.2678140394
218	0.2672269133
219	0.2667525415
220	0.2663217142
221	0.2658273347
222	0.2653637062
223	0.264789763
224	0.2643341013
225	0.2638697722
226	0.2633884456
227	0.2628910298
228	0.2625792627
229	0.2620620209
230	0.2618825744
231	0.2613897259
232	0.2610384364
233	0.2605161083
234	0.2601306682
235	0.2597089235
236	0.2594577763
237	0.2589829114
238	0.2584835753
239	0.2584548224
240	0.2578995374
241	0.257505326
242	0.2570840226
243	0.2565204854
244	0.2561258589
245	0.2560882568
246	0.2555743626
247	0.2551406289
248	0.2547125005
249	0.2542204305
250	0.2538977383
251	0.2536498089
252	0.2530867388
253	0.2527341518
254	0.2524140027
255	0.2520127588
256	0.2517209994
257	0.2513397372
258	0.2509960771
259	0.2507616938
260	0.2502330858
261	0.24989241
262	0.2495267959
263	0.249231611
264	0.2488865236
265	0.2485412805
266	0.2481075209
267	0.2477387149
268	0.2471850129
269	0.2467502672
270	0.2464739222
271	0.245982475
272	0.2456096987
273	0.2451540889
274	0.2449357169
275	0.2445770056
276	0.2440969506
277	0.2440655767
278	0.2435929954
279	0.2432132384
280	0.2430021325
281	0.2424212345
282	0.2422183809
283	0.2418180193
284	0.2414036446
285	0.2410631764
286	0.2408363965
287	0.2404470638
288	0.2401551487
289	0.2398699287
290	0.2394288511
291	0.2392987881
292	0.2390752779
293	0.238752404
294	0.2383703894
295	0.238095835
296	0.2378851443
297	0.2375955387
298	0.2373403432
299	0.236954981
300	0.2366799595
301	0.2363044583
302	0.2360949095
303	0.2357803656
304	0.2356108581
305	0.2354357453
306	0.2351342545
307	0.2347858455
308	0.2345467652
309	0.2342583793
310	0.233794154
311	0.2336406578
312	0.2333623666
313	0.232883635
314	0.2324614752
315	0.2322821325
316	0.231901078
317	0.2317044524
318	0.2315204646
319	0.2313419005
320	0.2311432508
321	0.230893972
322	0.2303892901
323	0.2299892919
324	0.2297334736
325	0.2295120135
326	0.2291872712
327	0.2287289366
328	0.2285154433
329	0.2281884952
330	0.2280162111
331	0.2277740167
332	0.2274543087
333	0.2272411269
334	0.2270731764
335	0.226771945
336	0.2264715441
337	0.2260157527
338	0.2256520589
339	0.2252152631
340	0.2249005895
341	0.2245734857
342	0.2242311231
343	0.223953299
344	0.2237340707
345	0.2232910468
346	0.2228342952
347	0.2225525006
348	0.2224014438
349	0.2220579913
350	0.2217550213
351	0.2214738495
352	0.2211244025
353	0.220691655
354	0.2204402223
355	0.2200837946
356	0.2198813821
357	0.219622346
358	0.2192481424
359	0.2189102692
360	0.2186896396
361	0.2185419563
362	0.2182815448
363	0.217994638
364	0.2177291403
365	0.2175097044
366	0.2173301152
367	0.2169291438
368	0.2165782176
369	0.2163484924
370	0.2161238404
371	0.2158046904
372	0.2156498578
373	0.2154126719
374	0.215062096
375	0.214617048
376	0.2144337609
377	0.2142595953
378	0.2140155844
379	0.2136381759
380	0.2134500491
381	0.2132839151
382	0.2129233094
383	0.2126699694
384	0.2123084555
385	0.2120826098
386	0.2119109614
387	0.2116146607
388	0.2113603216
389	0.2111290912
390	0.2109260559
391	0.2107094615
392	0.2105251234
393	0.2103194671
394	0.2101656336
395	0.2099526334
396	0.2096665311
397	0.2093496647
398	0.2088625253
399	0.2085409878
400	0.2083422213
401	0.2081065794
402	0.2078312076
403	0.2074696028
404	0.2072592755
405	0.2068874333
406	0.2066341322
407	0.206393417
408	0.2061477194
409	0.2059357312
410	0.2057461641
411	0.2054951467
412	0.205302206
413	0.2050811093
414	0.2048630098
415	0.2046693296
416	0.204348895
417	0.2041597691
418	0.2038849292
419	0.2036055221
420	0.2032675451
421	0.2030092486
422	0.2027840128
423	0.2026012576
424	0.2024080186
425	0.2022467892
426	0.201925122
427	0.2016372162
428	0.2014890139
429	0.2011903257
430	0.2009348707
431	0.2006782999
432	0.2004766659
433	0.2002067696
434	0.1999562711
435	0.1997597364
436	0.1995886199
437	0.1994227974
438	0.1989441567
439	0.1986074772
440	0.1984042343
441	0.1981518934
442	0.1979200662
443	0.1976592265
444	0.1973158389
445	0.1970742544
446	0.1967851029
447	0.1965752686
448	0.1963497863
449	0.1962108223
450	0.1960164673
451	0.1957648141
452	0.1956207509
453	0.1952283301
454	0.1949874203
455	0.1947818938
456	0.1944794168
457	0.1943135683
458	0.1940935615
459	0.1939454241
460	0.1937252356
461	0.1934661606
462	0.193047517
463	0.192849555
464	0.1925670338
465	0.1922824496
466	0.1920499218
467	0.1918842809
468	0.1916450708
469	0.1912715159
470	0.1910664565
471	0.1908187088
472	0.1904536915
473	0.1903205145
474	0.1901338019
475	0.1899221771
476	0.1897845236
477	0.1895272132
478	0.1892660751
479	0.18903417
480	0.1888092975
481	0.188535846
482	0.1883463697
483	0.1881552197
484	0.1879207326
485	0.1877196046
486	0.1874786948
487	0.187295226
488	0.1870750505
489	0.1868899079
490	0.1865991476
491	0.1863873151
492	0.1862360377
493	0.1860190411
494	0.1859175494
495	0.1857227663
496	0.1854316556
497	0.185198959
498	0.184983234
499	0.1846859342
500	0.184413845
501	0.1841950319
502	0.1839809547
503	0.18383248
504	0.1836463254
505	0.1833913505
506	0.1830262943
507	0.1829150972
508	0.1827422161
509	0.1825051081
510	0.1822218733
511	0.1820246638
512	0.1818633177
513	0.1816592314
514	0.1814437399
515	0.181198198
516	0.1810400567
517	0.1807527088
518	0.1804510104
519	0.1803654651
520	0.1802315744
521	0.1800169264
522	0.1797873828
523	0.1795120499
524	0.1793742407
525	0.1792455401
526	0.1791195513
527	0.1787939007
528	0.1783321017
529	0.1782158443
530	0.1778563675
531	0.1775587043
532	0.1773956455
533	0.1772221676
534	0.17698999
535	0.1767486131
536	0.1764442029
537	0.1763352375
538	0.1759968972
539	0.1757981177
540	0.1756086804
541	0.1754674847
542	0.1753140404
543	0.1750356324
544	0.1748454814
545	0.174723437
546	0.1744645437
547	0.1743119687
548	0.1741148371
549	0.1739029528
550	0.1736790145
551	0.1732889292
552	0.1732072117
553	0.1729752936
554	0.1728143757
555	0.1726525754
556	0.1725428705
557	0.172366032
558	0.1721917626
559	0.171978957
560	0.171769979
561	0.1717076075
562	0.1715580428
563	0.1712543462
564	0.1710436036
565	0.1707201847
566	0.1705281005
567	0.1704284253
568	0.1703180586
569	0.1702138161
570	0.170058724
571	0.1699962356
572	0.1698253658
573	0.1695631897
574	0.1692991841
575	0.1692161949
576	0.1688624142
577	0.1686496735
578	0.1684814505
579	0.1682946341
580	0.1681079735
581	0.1678114651
582	0.1676118552
583	0.1673881245
584	0.167130892
585	0.166882729
586	0.166627819
587	0.1664801228
588	0.1662739475
589	0.1660187909
590	0.1657090739
591	0.1655036381
592	0.1652991236
593	0.1649800385
594	0.1648238565
595	0.1644769266
596	0.1642697652
597	0.1640401178
598	0.163893252
599	0.1636893993
600	0.1635154153
601	0.1633031157
602	0.1630935669
603	0.1629807349
604	0.1628526701
605	0.1627000043
606	0.1625158349
607	0.162181439
608	0.1620053012
609	0.1618189131
610	0.1616652352
611	0.1614285813
612	0.1612700248
613	0.1611558304
614	0.160763786
615	0.160593474
616	0.1604463486
617	0.1601988085
618	0.1599133809
619	0.1597885858
620	0.1595415777
621	0.1593639867
622	0.1591549828
623	0.1589882131
624	0.1586960124
625	0.1585439954
626	0.1583029818
627	0.158093926
628	0.1578351365
629	0.1576404831
630	0.1575285334
631	0.1573879216
632	0.1571909846
633	0.1570108115
634	0.1567973182
635	0.156506493
636	0.1563069869
637	0.1561104911
638	0.1559913531
639	0.155736508
640	0.1555559067
641	0.1552712577
642	0.1551019448
643	0.1548041
644	0.1545612569
645	0.1543565867
646	0.1541424706
647	0.1539112532
648	0.1537526449
649	0.1535730686
650	0.1534327552
651	0.153293402
652	0.1531577078
653	0.1529965433
654	0.1528459147
655	0.1526403103
656	0.1524505485
657	0.1523216403
658	0.1519673665
659	0.1517103156
660	0.1516295063
661	0.1514986129
662	0.151353849
663	0.151154317
664	0.1508418232
665	0.1506979028
666	0.1504384774
667	0.1501989689
668	0.1500329258
669	0.1497910428
670	0.1497359892
671	0.1494705563
672	0.1493622786
673	0.1491475008
674	0.1489275718
675	0.1487663814
676	0.1485878302
677	0.148403038
678	0.1482800724
679	0.1481109671
680	0.1479300674
681	0.1477836557
682	0.14762471
683	0.1475257614
684	0.1473244648
685	0.1470478603
686	0.1468726826
687	0.1467144116
688	0.1466086641
689	0.1464769013
690	0.1462686759
691	0.1460819504
692	0.1459510959
693	0.1458333852
694	0.1456363055
695	0.1453730265
696	0.1451637372
697	0.1451210489
698	0.1449607797
699	0.1447734963
700	0.1445438878
701	0.1444272411
702	0.1441462121
703	0.1438919638
704	0.1437350552
705	0.1435507431
706	0.1433380283
707	0.1431752419
708	0.1429647588
709	0.1427609969
710	0.1426548471
711	0.1425527196
712	0.1424097853
713	0.1421785419
714	0.1419837588
715	0.1419448463
716	0.1418352711
717	0.1415990453
718	0.1414688007
719	0.1414314581
720	0.1411986319
721	0.1410198341
722	0.1408685957
723	0.1406066791
724	0.1405030075
725	0.1404173455
726	0.1403648999
727	0.140351302
728	0.1401881004
729	0.1400361483
730	0.1399528088
731	0.1398577528
732	0.1397812123
733	0.1395329196
734	0.1393577939
735	0.1390958514
736	0.1388978634
737	0.1388288615
738	0.1385684111
739	0.1385340528
740	0.1382593168
741	0.1381143064
742	0.1379676871
743	0.1377681291
744	0.1375139717
745	0.1372857775
746	0.1370565843
747	0.1369432722
748	0.1366113546
749	0.1364240581
750	0.1362710032
751	0.1361815264
752	0.1361130435
753	0.1359947231
754	0.1358383594
755	0.1356606646
756	0.1356325993
757	0.135531419
758	0.1353437982
759	0.1351231815
760	0.1349243761
761	0.1347936643
762	0.1346295675
763	0.134289748
764	0.134105371
765	0.1339614764
766	0.1337489822
767	0.1335017146
768	0.1333120696
769	0.133171886
770	0.1330105269
771	0.1328577444
772	0.1326379711
773	0.1324601984
774	0.1323547882
775	0.1321735771
776	0.1319627048
777	0.1316661964
778	0.1314844663
779	0.131325858
780	0.1311646416
781	0.1310143892
782	0.1307670957
783	0.1305836528
784	0.1305477376
785	0.130415365
786	0.1303329727
787	0.1302298461
788	0.130016301
789	0.1298562134
790	0.1296545924
791	0.1295855516
792	0.1293741732
793	0.1291186274
794	0.1290507414
795	0.1288588647
796	0.1287070034
797	0.1285882418
798	0.1283528594
799	0.1281257681
800	0.1279970545
801	0.1277897244
802	0.1277556257
803	0.1275462326
804	0.1274098766
805	0.1272541877
806	0.1270762593
807	0.1268285635
808	0.126722219
809	0.1265453935
810	0.1263736543
811	0.1262825687
812	0.1262063785
813	0.1261024216
814	0.1258944816
815	0.1258158522
816	0.1256523392
817	0.1253805355
818	0.1251588419
819	0.1250434538
820	0.1249277543
821	0.124913274
822	0.1247306357
823	0.1245046343
824	0.1244414972
825	0.124321944
826	0.1241587944
827	0.1240638941
828	0.1239135898
829	0.1237561751
830	0.1235334695
831	0.1233378819
832	0.1232445775
833	0.1230446692
834	0.122869284
835	0.1226638483
836	0.1225456835
837	0.1222844286
838	0.1222624357
839	0.1222436217
840	0.1222336179
841	0.1220345789
842	0.1218848975
843	0.1218089928
844	0.1217107319
845	0.1215034537
846	0.1213434959
847	0.1212010935
848	0.1210498421
849	0.1208108136
850	0.1206557864
851	0.1205249449
852	0.1203639102
853	0.1202473284
854	0.1200528696
855	0.1198754603
856	0.1197069648
857	0.1195037738
858	0.1192582578
859	0.1192120662
860	0.1188964584
861	0.1187971984
862	0.1187782288
863	0.1187038811
864	0.1186269903
865	0.1185914902
866	0.1184347244
867	0.1182743384
868	0.1181422642
869	0.1179840451
870	0.1179529826
871	0.1178520488
872	0.1176509208
873	0.117533314
874	0.1173537118
875	0.1173032644
876	0.1172829972
877	0.1171182645
878	0.1170674279
879	0.1169571779
880	0.1169189142
881	0.1168686484
882	0.1166592293
883	0.1164462031
884	0.1162698447
885	0.1160661477
886	0.1159242902
887	0.1157879992
888	0.1156004562
889	0.1153663713
890	0.1151258767
891	0.1150062846
892	0.1148873673
893	0.1146279938
894	0.1144115033
895	0.1143308497
896	0.1142740315
897	0.114098763
898	0.1139094813
899	0.1138160083
900	0.1136757987
901	0.1135770318
902	0.1135598397
903	0.1134148812
904	0.1132799525
905	0.1130957312
906	0.1129773458
907	0.112916129
908	0.1127158184
909	0.1125723391
910	0.1125271337
911	0.1125181419
912	0.1123607791
913	0.1122876771
914	0.1121846673
915	0.1119757412
916	0.1118682031
917	0.1116285648
918	0.1115711238
919	0.1115173807
920	0.1113246087
921	0.1112490025
922	0.111013114
923	0.1108192132
924	0.110639624
925	0.110468819
926	0.1103040085
927	0.1101274425
928	0.1099208131
929	0.1098849238
930	0.1098114844
931	0.1096599345
932	0.109432973
933	0.1092573412
934	0.1091563166
935	0.1090620651
936	0.1089826052
937	0.1088627277
938	0.1087827747
939	0.1086673282
940	0.1085066374
941	0.1084053208
942	0.1082535633
943	0.108115313
944	0.1080196342
945	0.1079038179
946	0.1077274854
947	0.1077001143
948	0.1075585294
949	0.107542265
950	0.1073176455
951	0.1072048589
952	0.1071892304
953	0.107033496
954	0.1069122172
955	0.1068989436
956	0.1068677578
957	0.1067078714
958	0.1065605254
959	0.1064172991
960	0.106223301
961	0.1062141535
962	0.1060904808
963	0.1059025161
964	0.1056716166
965	0.105490931
966	0.1053147219
967	0.1051711387
968	0.1049890453
969	0.1049496073
970	0.1047871389
971	0.1046687794
972	0.1045352521
973	0.1044960865
974	0.1043806336
975	0.1042175163
976	0.1041691255
977	0.1039673941
978	0.1039559955
979	0.1038060156
980	0.1036414646
981	0.1034755966
982	0.1033664171
983	0.1031792699
984	0.1030630644
985	0.102956934
986	0.1028180739
987	0.1026830154
988	0.102503277
989	0.1024060152
990	0.1022574691
991	0.1021042065
992	0.1019497112
993	0.1018056675
994	0.1016881385
995	0.1016638425
996	0.101525417
997	0.1014996678
998	0.1013434663
999	0.1012745293
